Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
JavaLanguageVisitor.JavaLanguageVisitor.calculateBinaryComplexity();15;3;0,625;7;1;16,32;8218,9134;0,1358;94;41;503,6099;14;0,25;1;55,8023;4;8;4;1;1
JavaLanguageVisitor.JavaLanguageVisitor.postProcess(PsiElement);4;2;1,0;2;0;13,125;4503,6088;0,0909;73;26;343,1321;12;1,0;0;58,3841;2;11;2;0;1
JavaLanguageVisitor.JavaLanguageVisitor.processElement(PsiElement);24;2;0,3;10;1;19,2821;19396,9066;0,2406;174;55;1005,9566;21;0,6667;0;49,7265;2;21;2;0;1
JavaLanguageVisitor.JavaLanguageVisitor.processIfExpression();1;1;1,0;1;0;3,0;134,9178;0,0088;13;11;44,9726;3;1,0;0;77,9914;1;2;2;0;1
JavaLanguageVisitor.JavaLanguageVisitor.shouldVisitElement(PsiElement);0;0;0,0;0;0;0,0;0,0;0,0;1;1;0,0;1;0,0;0;∞;0;1;0;0;1
KtComplexityInfoProvider.KtComplexityInfoProvider.<init>(Language);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;1
KtComplexityInfoProvider.KtComplexityInfoProvider.considerPropertyAccessorsComplexity(PsiElement);0;0;0,0;0;0;0,75;4,7549;0,0009;4;3;6,3399;1;0,0;0;94,5514;0;1;1;0;1
KtComplexityInfoProvider.KtComplexityInfoProvider.getNameElementFor(PsiElement);9;2;0,75;8;1;6,6667;1015,2946;0,0337;40;14;152,2942;6;0,0;0;67,4139;1;12;1;0;1
KtComplexityInfoProvider.KtComplexityInfoProvider.getVisitor(ComplexitySink);0;0;0,0;0;0;1,5;17,4145;0,0022;5;5;11,6096;1;0,0;0;92,7082;0;1;1;0;1
KtComplexityInfoProvider.KtComplexityInfoProvider.isClassWithBody(PsiElement);0;0;1,0;1;0;3,3333;149,9087;0,0094;13;11;44,9726;1;0,0;0;88,3993;0;2;1;0;1
KtComplexityInfoProvider.KtComplexityInfoProvider.isComplexitySuitableMember(PsiElement);0;0;1,0;1;0;3,6;149,4474;0,0094;12;11;41,5132;1;0,5;0;88,614;0;2;2;0;1
KtLanguageVisitor.KtLanguageVisitor.<init>(ComplexitySink);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;1
